,MOVIE NAME,RELEASE DATE
1,YourPlaceorMine,"Feb10,2023"
2,Ant-Man,"Feb24,2016"
3,InfinityPool,"Feb14,2023"
4,PussinBoots:TheLastWish,"Jan6,2023"
5,AllThatBreathes,"Feb7,2023"
6,Sharper,"Feb17,2023"
7,BlackPanther:WakandaForever,"Feb1,2023"
8,M3GAN,"Jan24,2023"
9,Plane,"Feb2,2023"
10,TheBansheesofInisherin,"Dec13,2022"
11,SomebodyIUsedToKnow,"Feb10,2023"
12,Eternals,"Jan12,2022"
13,Thor:LoveandThunder,"Sep8,2022"
14,Babylon,"Jan31,2023"
15,EverythingEverywhereAllatOnce,"Jun7,2022"
16,Ant-ManandTheWasp,"Oct2,2018"
17,TheMenu,"Jan3,2023"
18,YouPeople,"Jan27,2023"
19,TheFabelmans,"Dec13,2022"
20,Tár,"Dec20,2022"
21,BlackAdam,"Nov22,2022"
22,Aftersun,"Dec20,2022"
23,Huesera:TheBoneWoman,"Feb16,2023"
24,TheWomanKing,"Dec13,2022"
25,TriangleofSadness,"Nov22,2022"
26,WhiteNoise,"Dec30,2022"
27,AllQuietontheWesternFront,"Oct28,2022"
28,TheIntegrityofJosephChambers,"Feb17,2023"
29,DoctorStrangeintheMultiverseofMadness,"Jun22,2022"
30,Swallowed,"Feb14,2023"
